comment,class
o little town of bethlehem how still we see thee lie above thy deep and dreamless sleep the silent stars go by yet in thy dark streets shineth the everlasting light the hopes and fears of all the years are met in thee tonight merry christmas,2
now that is a proper refugee camp,0
why won&#;t their brothers in islam take them quite telling,0
preserve me o god i say to the lord quote thou art my lord i have no good apart from thee.&quot; the lord is my chosen i keep the lord always before me no matter what man does,2
why doesn&#;t egypt welcome them in or atari or saudi arabian or iran,2
can&#;t wait for the liberal left to bring all these people here maybe they can dump them in chicago and new york,0
what will be the impact of flooding gazes tunnels with seawater pumping seawater into tunnel networks will damage water supplies and agriculture - and could breach international,0
mess with israel god&#;s chosen people and yahweh message to the enemies of yahweh and this is reality what happens,0
interesting how the surrounding countries have borders,2
in the future stop hiding losers under schools and such face with open mouth smiling face with smiling eyes,0
the media brutally participates in the killing of gaza&#;s children,1
while some men sit comfortably on their seats and veto ceasefire,1
"if you have live satellite access you can see that the latest wars have created a return of the sea peoples from makoto to china kids are orphaned in these boats around puberty and they know no land as home yes they are self sufficient fishermen boys and girls and yiu know what per capita since judge gregg abbott of texas and politician ron desantis of florida sent all those immigrants to martha&#;s vineyard and gavinnewsom housed million people off the streets in losangees , the percent of homeless residents are about equal smiling face with smiling eyes to each other world peace worldwar crying face if my year old self knew , id be trembling in tears",2
israel is acting evil they should follow their own religious teachings about a jewish state,1
nba supports terrorism..shame on you,0
"the palestinians kids and general the palestinians they have nothing to do with all these thousands of kids got killed and manny thousands of innocent people for the wrong reason to benefit others,where is the humanitarian help everyone is closing their eyes,it is horrible this is sick,the make believe civilisation nations looking the other way stop everything right now from both ways it is horrible",1
others laugh and others cry unacceptable what you become in the interests of some which the human rights organization everyone closes eyes only words are europe has been through such situations and had to react differently but the invisible claw keeps everyone unsteady and obedient to injustice and mischief,1
people they invaded israel for the the time massacred civilians and you feel sorry for them you are either to young or too stupid to know that the palestinians have been committing similar atrocities for over years read your history the problem needs to be solved once and for all jordan occupies % of the land that these arabs could be living in why no outrage over that,1
you all muslim has no respect for god,0
power to palestine raised fist Palestinian Territories,1
most of these displaced palestinians still love hamas terrorists and they still hate israel and want to destroy israeli so let them have it,0
american president is the killer of humanity,1
"shame on our world human rights leaders,un",1
thats why stop attacking israeli and stop endlessly making children in poor condition,0
it is clear that israeli policy cannot be neverending occupation violence ethnic cleansing and dispossession of palestinian land until there is no man woman and child left a state solution is the only path to peace live and let live with an un-monitoring presence for the first few years until both sides learn to live with each other side by side,1
palestine really should have declared independence years ago instead of starting to attack and try to wipe israel off the map from the river to the sea palestinians kept trying and they kept failing actions have consequences,1
it&#;s time to ban you tube now,0
"what a warmongering savage baby-killing and terrorizing israeli government they&#;re worst than hamas , deaths / of the casualties are babies i&#;m ashamed to have thought good things about israeli shame on me",1
thanks for showing this very sad to see,1
god bless the children of israel and palestine,2
shame on widen for supporting such a horrific catastrophe this war was never about hamas it&#;s about ethnic cleansing next they push whoever survives into egypt israel has already started planning settlements in gaza the right wing government under netanyahu is more of a terrorist than hamas,1
thought that was london for a sec,2
go egypt storms is coming alert storm is coming god said get out,2
i know homeless people in the us who live in tents all year round they should've never let hamas take over,0
that&#;s not right and crimes against humanity that is not defending israel it&#;s the persecution of innocent people and the world just stands by watching that is very cruel,1
don&#;t call innocent groans they are hamas sympathisers,0
hamas brought this onto their own people,0
hamas must be responsible for its people,1
why if thers killed you are going to say palestinians but when you start the war you crying out loud you let hamas your own grave,0
since the humanitarian liberal enlightened usa thinks this is okay what would you think of million zionists in tent cities bad memories huh,0
ask egypt why they not accept palestinians,0
as usual half is afraid to walk around on the ground remember her getting the heck out of egypt after one day,2
it looks like california person shrugging female sign,2
they should really vote better next time,0
i noticed you didn&#;t ask how any of these people felt about hamas and whether or not they understand that this could end tomorrow if hamas surrenders and releases the hostages from october the,0
hates skeptical annoyed undecided uneasy or hesitant /youtu.be/oumlimw?si=u-lscsqtbhgda,2
egypt must open border to groans egypt is responsible for death of gaza england must accept palestinian not send them to amanda british people hate arabs thats why process diane and egyptian arab boyfriend,1
egypt should be a passage way for food water medication,1
this would be intolerable if caused by a natural disaster the facts that humans are causing this and that my nation funds it are beyond my comprehension,0
yet hamas&#; leaders are billionaires when a nation has wicked corrupted government and leaders the people will surely suffer small haniyeh has been calling the palestinians women children and elderly to shed their blood so why are the palestinians crying when their leader small keeps asking them to shed their blood,0
hamas was created on the basis of an ideology that does not recognize israel&#;s right to exist and all hamas actions are aimed at the destruction of israel and the creation of an islamic palestinian state on israeli territory and most arab countries including palestine support hamas and what should israel do after another hamas terrorist attack atrocities against civilians and hostage-taking? what actions will the un take against hamas,0
BS,2
governments use Europe and Israel as murderers. Israel will lose.,1
amazing how fast palestinians got a tent city up they might choose bedouin life in the desert herding goats and sheep i would if it was me,0
i read in the egyptians used sewage water to flood the tunnels israel is using sea water now,0
"if you put your place in the position of people of gaza you can see that humanity must take primary position over all else and call for a humanitarian aid and ceasefire of hostilities both sides of conflict . would allah praise be his name take delight in this ? wouldyhvh and ( ) take delight in this elohim, el saddam , would the good djinn ? would the moshiach ? here is what jesus said blessed are the peacemakers for they will be called the children of god it is good message , good advice , good way to perceive life why ? because only god is good it should be considered .",1
"i don&#;t think israel realises the level of humanitarian crisis they have created or perhaps more worryingly, they just don&#;t care i",1
its only allah who knows the last breathe,1
watching this makes me feel so sad how can my government veto a ceasefire is beyond my comprehension,1
then one day for no reason at all,2
running out of words the situation in gaza is very difficult to see can we or should we overlook these events should we stand by in silence as this is going on in today&#;s society we are all interconnected and cannot ignore what is going on in gaza a cease fire is urgently needed and is being requested across the globe i israel is in breach of international human law,1
they were not complaining on october,0
america and israel have so much to answer for the truth can never be hidden the people of the world are witness to their gruesome atrocities,0
jewish land since be then occupied by rome and the eastern roman empire then invaders called arab muslims there not indigenous but colonisers of jewish land good riddance face with tears of joy,0
i have never seen something like this this is so sad,1
if egypt is a muslim country and supports palestine then why they don&#;t let palestinians to enter their country,2
"well this is what happens when you elect a terrorist group as your govt meanwhile the billionaire leaders of hamas are living it up , in atari how you like that they got billions in atari you starving and cold in a tent thats what they think of you and how concerned they are about you how much of their personal billions in wealth have they spent on medicine food water for the gazans? you need to start asking ourselves that question",0
they are going thirsty hungry and they lack shelter winter is coming so many people have already died so many more will die this is so cruel,1
to achieve lasting piece israel must occupy gaza for next years of a generation to reeducate paletinians&#; children this is how catherine the great transformed russians,0
this has been happening since october where has the rest of the world been,1
i'm a pathetic about humanity i believe that after israel helping rebuild gaza they will attack israel again and be pitiful i can't find medicine i don't have shelter i can't find food and water why don't they give us peace all over again,0
so the palestine Palestinian Territories story only gets minutes of coverage horse shot,1
flexed biceps Israel heart suit,0
